year,teamCn,teamEn,preTournamentOdds,finalRank,oddsSource,resultSource
2002,巴西,Brazil,6/1,1,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,德国,Germany,14/1,2,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,土耳其,Turkey,66/1,3,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,韩国,South Korea,150/1,4,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,西班牙,Spain,8/1,5,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,英格兰,England,9/1,6,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,塞内加尔,Senegal,150/1,7,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,美国,USA,200/1,8,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,日本,Japan,66/1,9,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,丹麦,Denmark,80/1,10,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,墨西哥,Mexico,100/1,11,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,爱尔兰,Ireland,80/1,12,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,瑞典,Sweden,66/1,13,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,比利时,Belgium,80/1,14,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,意大利,Italy,6/1,15,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,巴拉圭,Paraguay,50/1,16,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,南非,South Africa,200/1,17,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,阿根廷,Argentina,4/1,18,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,哥斯达黎加,Costa Rica,200/1,19,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,喀麦隆,Cameroon,50/1,20,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,葡萄牙,Portugal,12/1,21,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,俄罗斯,Russia,50/1,22,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,克罗地亚,Croatia,66/1,23,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,厄瓜多尔,Ecuador,100/1,24,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,波兰,Poland,80/1,25,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,乌拉圭,Uruguay,66/1,26,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,尼日利亚,Nigeria,100/1,27,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,法国,France,4/1,28,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,突尼斯,Tunisia,200/1,29,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,斯洛文尼亚,Slovenia,150/1,30,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,中国,China,300/1,31,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2002,沙特,Saudi Arabia,250/1,32,Sunday Times guide quoted on BigSoccer,FIFA final standings / tournament records
2006,意大利,Italy,17/2,1,BODOG via DocSports,FIFA final standings / tournament records
2006,法国,France,10/1,2,BODOG via DocSports,FIFA final standings / tournament records
2006,德国,Germany,7/1,3,BODOG via DocSports,FIFA final standings / tournament records
2006,葡萄牙,Portugal,19/1,4,BODOG via DocSports,FIFA final standings / tournament records
2006,巴西,Brazil,5/2,5,BODOG via DocSports,FIFA final standings / tournament records
2006,阿根廷,Argentina,13/2,6,BODOG via DocSports,FIFA final standings / tournament records
2006,英格兰,England,7/1,7,BODOG via DocSports,FIFA final standings / tournament records
2006,乌克兰,Ukraine,50/1,8,BODOG via DocSports,FIFA final standings / tournament records
2006,西班牙,Spain,14/1,9,BODOG via DocSports,FIFA final standings / tournament records
2006,瑞士,Switzerland,125/1,10,BODOG via DocSports,FIFA final standings / tournament records
2006,荷兰,Netherlands,12/1,11,BODOG via DocSports,FIFA final standings / tournament records
2006,厄瓜多尔,Ecuador,190/1,12,BODOG via DocSports,FIFA final standings / tournament records
2006,加纳,Ghana,190/1,13,BODOG via DocSports,FIFA final standings / tournament records
2006,瑞典,Sweden,40/1,14,BODOG via DocSports,FIFA final standings / tournament records
2006,墨西哥,Mexico,40/1,15,BODOG via DocSports,FIFA final standings / tournament records
2006,澳大利亚,Australia,145/1,16,BODOG via DocSports,FIFA final standings / tournament records
2006,韩国,South Korea,200/1,17,BODOG via DocSports,FIFA final standings / tournament records
2006,巴拉圭,Paraguay,150/1,18,BODOG via DocSports,FIFA final standings / tournament records
2006,科特迪瓦,Ivory Coast,90/1,19,BODOG via DocSports,FIFA final standings / tournament records
2006,捷克,Czech Republic,30/1,20,BODOG via DocSports,FIFA final standings / tournament records
2006,波兰,Poland,85/1,21,BODOG via DocSports,FIFA final standings / tournament records
2006,克罗地亚,Croatia,60/1,22,BODOG via DocSports,FIFA final standings / tournament records
2006,安哥拉,Angola,400/1,23,BODOG via DocSports,FIFA final standings / tournament records
2006,突尼斯,Tunisia,未列出,24,BODOG via DocSports,FIFA final standings / tournament records
2006,伊朗,Iran,500/1,25,BODOG via DocSports,FIFA final standings / tournament records
2006,美国,USA,70/1,26,BODOG via DocSports,FIFA final standings / tournament records
2006,特立尼达和多巴哥,Trinidad & Tobago,800/1,27,BODOG via DocSports,FIFA final standings / tournament records
2006,沙特,Saudi Arabia,750/1,28,BODOG via DocSports,FIFA final standings / tournament records
2006,日本,Japan,180/1,29,BODOG via DocSports,FIFA final standings / tournament records
2006,多哥,Togo,350/1,30,BODOG via DocSports,FIFA final standings / tournament records
2006,哥斯达黎加,Costa Rica,450/1,31,BODOG via DocSports,FIFA final standings / tournament records
2006,塞尔维亚和黑山,Serbia & Montenegro,90/1,32,BODOG via DocSports,FIFA final standings / tournament records
2010,西班牙,Spain,4/1,1,Slideshare 2010 World Cup Betting Odds,FIFA final standings / tournament records
2010,荷兰,Netherlands,12/1,2,Slideshare 2010 World Cup Betting Odds,FIFA final standings / tournament records
2010,德国,Germany,12/1,3,Slideshare 2010 World Cup Betting Odds,FIFA final standings / tournament records
2010,乌拉圭,Uruguay,100/1,4,Slideshare 2010 World Cup Betting Odds,FIFA final standings / tournament records
2010,阿根廷,Argentina,7/1,5,Slideshare 2010 World Cup Betting Odds,FIFA final standings / tournament records
2010,巴西,Brazil,5/1,6,Slideshare 2010 World Cup Betting Odds,FIFA final standings / tournament records
2010,加纳,Ghana,66/1,7,Slideshare 2010 World Cup Betting Odds,FIFA final standings / tournament records
2010,巴拉圭,Paraguay,80/1,8,Slideshare 2010 World Cup Betting Odds,FIFA final standings / tournament records
2010,日本,Japan,350/1,9,Slideshare 2010 World Cup Betting Odds,FIFA final standings / tournament records
2010,智利,Chile,66/1,10,Slideshare 2010 World Cup Betting Odds,FIFA final standings / tournament records
2010,葡萄牙,Portugal,28/1,11,Slideshare 2010 World Cup Betting Odds,FIFA final standings / tournament records
2010,美国,USA,80/1,12,Slideshare 2010 World Cup Betting Odds,FIFA final standings / tournament records
2010,英格兰,England,6/1,13,Slideshare 2010 World Cup Betting Odds,FIFA final standings / tournament records
2010,墨西哥,Mexico,80/1,14,Slideshare 2010 World Cup Betting Odds,FIFA final standings / tournament records
2010,韩国,South Korea,200/1,15,Slideshare 2010 World Cup Betting Odds,FIFA final standings / tournament records
2010,斯洛伐克,Slovakia,250/1,16,Slideshare 2010 World Cup Betting Odds,FIFA final standings / tournament records
2010,科特迪瓦,Ivory Coast,33/1,17,Slideshare 2010 World Cup Betting Odds,FIFA final standings / tournament records
2010,斯洛文尼亚,Slovenia,250/1,18,Slideshare 2010 World Cup Betting Odds,FIFA final standings / tournament records
2010,瑞士,Switzerland,200/1,19,Slideshare 2010 World Cup Betting Odds,FIFA final standings / tournament records
2010,南非,South Africa,150/1,20,Slideshare 2010 World Cup Betting Odds,FIFA final standings / tournament records
2010,澳大利亚,Australia,150/1,21,Slideshare 2010 World Cup Betting Odds,FIFA final standings / tournament records
2010,新西兰,New Zealand,2000/1,22,Slideshare 2010 World Cup Betting Odds,FIFA final standings / tournament records
2010,塞尔维亚,Serbia,66/1,23,Slideshare 2010 World Cup Betting Odds,FIFA final standings / tournament records
2010,丹麦,Denmark,150/1,24,Slideshare 2010 World Cup Betting Odds,FIFA final standings / tournament records
2010,希腊,Greece,150/1,25,Slideshare 2010 World Cup Betting Odds,FIFA final standings / tournament records
2010,意大利,Italy,12/1,26,Slideshare 2010 World Cup Betting Odds,FIFA final standings / tournament records
2010,尼日利亚,Nigeria,150/1,27,Slideshare 2010 World Cup Betting Odds,FIFA final standings / tournament records
2010,阿尔及利亚,Algeria,350/1,28,Slideshare 2010 World Cup Betting Odds,FIFA final standings / tournament records
2010,法国,France,18/1,29,Slideshare 2010 World Cup Betting Odds,FIFA final standings / tournament records
2010,洪都拉斯,Honduras,1000/1,30,Slideshare 2010 World Cup Betting Odds,FIFA final standings / tournament records
2010,喀麦隆,Cameroon,100/1,31,Slideshare 2010 World Cup Betting Odds,FIFA final standings / tournament records
2010,朝鲜,North Korea,1500/1,32,Slideshare 2010 World Cup Betting Odds,FIFA final standings / tournament records
2014,德国,Germany,11/2,1,William Hill US via Scribd,FIFA final standings / tournament records
2014,阿根廷,Argentina,4/1,2,William Hill US via Scribd,FIFA final standings / tournament records
2014,荷兰,Netherlands,26/1,3,William Hill US via Scribd,FIFA final standings / tournament records
2014,巴西,Brazil,+210,4,William Hill US via Scribd,FIFA final standings / tournament records
2014,哥伦比亚,Colombia,30/1,5,William Hill US via Scribd,FIFA final standings / tournament records
2014,比利时,Belgium,13/1,6,William Hill US via Scribd,FIFA final standings / tournament records
2014,法国,France,22/1,7,William Hill US via Scribd,FIFA final standings / tournament records
2014,哥斯达黎加,Costa Rica,750/1,8,William Hill US via Scribd,FIFA final standings / tournament records
2014,智利,Chile,35/1,9,William Hill US via Scribd,FIFA final standings / tournament records
2014,墨西哥,Mexico,50/1,10,William Hill US via Scribd,FIFA final standings / tournament records
2014,瑞士,Switzerland,100/1,11,William Hill US via Scribd,FIFA final standings / tournament records
2014,乌拉圭,Uruguay,22/1,12,William Hill US via Scribd,FIFA final standings / tournament records
2014,希腊,Greece,200/1,13,William Hill US via Scribd,FIFA final standings / tournament records
2014,阿尔及利亚,Algeria,1500/1,14,William Hill US via Scribd,FIFA final standings / tournament records
2014,美国,United States,50/1,15,William Hill US via Scribd,FIFA final standings / tournament records
2014,尼日利亚,Nigeria,250/1,16,William Hill US via Scribd,FIFA final standings / tournament records
2014,厄瓜多尔,Ecuador,150/1,17,William Hill US via Scribd,FIFA final standings / tournament records
2014,葡萄牙,Portugal,22/1,18,William Hill US via Scribd,FIFA final standings / tournament records
2014,克罗地亚,Croatia,150/1,19,William Hill US via Scribd,FIFA final standings / tournament records
2014,波黑,Bosnia,150/1,20,William Hill US via Scribd,FIFA final standings / tournament records
2014,科特迪瓦,Ivory Coast,100/1,21,William Hill US via Scribd,FIFA final standings / tournament records
2014,意大利,Italy,20/1,22,William Hill US via Scribd,FIFA final standings / tournament records
2014,西班牙,Spain,13/2,23,William Hill US via Scribd,FIFA final standings / tournament records
2014,俄罗斯,Russia,90/1,24,William Hill US via Scribd,FIFA final standings / tournament records
2014,加纳,Ghana,175/1,25,William Hill US via Scribd,FIFA final standings / tournament records
2014,英格兰,England,26/1,26,William Hill US via Scribd,FIFA final standings / tournament records
2014,韩国,South Korea,250/1,27,William Hill US via Scribd,FIFA final standings / tournament records
2014,伊朗,Iran,1500/1,28,William Hill US via Scribd,FIFA final standings / tournament records
2014,日本,Japan,125/1,29,William Hill US via Scribd,FIFA final standings / tournament records
2014,澳大利亚,Australia,750/1,30,William Hill US via Scribd,FIFA final standings / tournament records
2014,洪都拉斯,Honduras,1250/1,31,William Hill US via Scribd,FIFA final standings / tournament records
2014,喀麦隆,Cameroon,500/1,32,William Hill US via Scribd,FIFA final standings / tournament records
2018,法国,France,6/1,1,CBS Sports latest 2018 World Cup odds,FIFA final standings / tournament records
2018,克罗地亚,Croatia,40/1,2,CBS Sports latest 2018 World Cup odds,FIFA final standings / tournament records
2018,比利时,Belgium,10/1,3,CBS Sports latest 2018 World Cup odds,FIFA final standings / tournament records
2018,英格兰,England,20/1,4,CBS Sports latest 2018 World Cup odds,FIFA final standings / tournament records
2018,乌拉圭,Uruguay,25/1,5,CBS Sports latest 2018 World Cup odds,FIFA final standings / tournament records
2018,巴西,Brazil,4/1,6,CBS Sports latest 2018 World Cup odds,FIFA final standings / tournament records
2018,瑞典,Sweden,150/1,7,CBS Sports latest 2018 World Cup odds,FIFA final standings / tournament records
2018,俄罗斯,Russia,40/1,8,CBS Sports latest 2018 World Cup odds,FIFA final standings / tournament records
2018,哥伦比亚,Colombia,40/1,9,CBS Sports latest 2018 World Cup odds,FIFA final standings / tournament records
2018,西班牙,Spain,6/1,10,CBS Sports latest 2018 World Cup odds,FIFA final standings / tournament records
2018,丹麦,Denmark,80/1,11,CBS Sports latest 2018 World Cup odds,FIFA final standings / tournament records
2018,墨西哥,Mexico,60/1,12,CBS Sports latest 2018 World Cup odds,FIFA final standings / tournament records
2018,葡萄牙,Portugal,20/1,13,CBS Sports latest 2018 World Cup odds,FIFA final standings / tournament records
2018,瑞士,Switzerland,100/1,14,CBS Sports latest 2018 World Cup odds,FIFA final standings / tournament records
2018,日本,Japan,300/1,15,CBS Sports latest 2018 World Cup odds,FIFA final standings / tournament records
2018,阿根廷,Argentina,7/1,16,CBS Sports latest 2018 World Cup odds,FIFA final standings / tournament records
2018,塞内加尔,Senegal,150/1,17,CBS Sports latest 2018 World Cup odds,FIFA final standings / tournament records
2018,伊朗,Iran,1000/1,18,CBS Sports latest 2018 World Cup odds,FIFA final standings / tournament records
2018,韩国,South Korea,500/1,19,CBS Sports latest 2018 World Cup odds,FIFA final standings / tournament records
2018,秘鲁,Peru,200/1,20,CBS Sports latest 2018 World Cup odds,FIFA final standings / tournament records
2018,尼日利亚,Nigeria,250/1,21,CBS Sports latest 2018 World Cup odds,FIFA final standings / tournament records
2018,德国,Germany,7/2,22,CBS Sports latest 2018 World Cup odds,FIFA final standings / tournament records
2018,塞尔维亚,Serbia,200/1,23,CBS Sports latest 2018 World Cup odds,FIFA final standings / tournament records
2018,突尼斯,Tunisia,1000/1,24,CBS Sports latest 2018 World Cup odds,FIFA final standings / tournament records
2018,波兰,Poland,30/1,25,CBS Sports latest 2018 World Cup odds,FIFA final standings / tournament records
2018,沙特,Saudi Arabia,1000/1,26,CBS Sports latest 2018 World Cup odds,FIFA final standings / tournament records
2018,摩洛哥,Morocco,500/1,27,CBS Sports latest 2018 World Cup odds,FIFA final standings / tournament records
2018,冰岛,Iceland,200/1,28,CBS Sports latest 2018 World Cup odds,FIFA final standings / tournament records
2018,哥斯达黎加,Costa Rica,250/1,29,CBS Sports latest 2018 World Cup odds,FIFA final standings / tournament records
2018,澳大利亚,Australia,500/1,30,CBS Sports latest 2018 World Cup odds,FIFA final standings / tournament records
2018,埃及,Egypt,200/1,31,CBS Sports latest 2018 World Cup odds,FIFA final standings / tournament records
2018,巴拿马,Panama,1000/1,32,CBS Sports latest 2018 World Cup odds,FIFA final standings / tournament records
2022,阿根廷,Argentina,+550,1,FOX Bet via FOX 5 New York,FIFA final standings / tournament records
2022,法国,France,+550,2,FOX Bet via FOX 5 New York,FIFA final standings / tournament records
2022,克罗地亚,Croatia,+5000,3,FOX Bet via FOX 5 New York,FIFA final standings / tournament records
2022,摩洛哥,Morocco,+35000,4,FOX Bet via FOX 5 New York,FIFA final standings / tournament records
2022,荷兰,Netherlands,+1200,5,FOX Bet via FOX 5 New York,FIFA final standings / tournament records
2022,英格兰,England,+500,6,FOX Bet via FOX 5 New York,FIFA final standings / tournament records
2022,巴西,Brazil,+450,7,FOX Bet via FOX 5 New York,FIFA final standings / tournament records
2022,葡萄牙,Portugal,+1200,8,FOX Bet via FOX 5 New York,FIFA final standings / tournament records
2022,日本,Japan,+25000,9,FOX Bet via FOX 5 New York,FIFA final standings / tournament records
2022,塞内加尔,Senegal,+8000,10,FOX Bet via FOX 5 New York,FIFA final standings / tournament records
2022,澳大利亚,Australia,+50000,11,FOX Bet via FOX 5 New York,FIFA final standings / tournament records
2022,瑞士,Switzerland,+8000,12,FOX Bet via FOX 5 New York,FIFA final standings / tournament records
2022,西班牙,Spain,+800,13,FOX Bet via FOX 5 New York,FIFA final standings / tournament records
2022,美国,United States,+20000,14,FOX Bet via FOX 5 New York,FIFA final standings / tournament records
2022,波兰,Poland,+20000,15,FOX Bet via FOX 5 New York,FIFA final standings / tournament records
2022,韩国,South Korea,+25000,16,FOX Bet via FOX 5 New York,FIFA final standings / tournament records
2022,德国,Germany,+1000,17,FOX Bet via FOX 5 New York,FIFA final standings / tournament records
2022,厄瓜多尔,Ecuador,+20000,18,FOX Bet via FOX 5 New York,FIFA final standings / tournament records
2022,喀麦隆,Cameroon,+35000,19,FOX Bet via FOX 5 New York,FIFA final standings / tournament records
2022,乌拉圭,Uruguay,+5000,20,FOX Bet via FOX 5 New York,FIFA final standings / tournament records
2022,突尼斯,Tunisia,+50000,21,FOX Bet via FOX 5 New York,FIFA final standings / tournament records
2022,墨西哥,Mexico,+15000,22,FOX Bet via FOX 5 New York,FIFA final standings / tournament records
2022,比利时,Belgium,+1200,23,FOX Bet via FOX 5 New York,FIFA final standings / tournament records
2022,加纳,Ghana,+35000,24,FOX Bet via FOX 5 New York,FIFA final standings / tournament records
2022,沙特,Saudi Arabia,+75000,25,FOX Bet via FOX 5 New York,FIFA final standings / tournament records
2022,伊朗,Iran,+75000,26,FOX Bet via FOX 5 New York,FIFA final standings / tournament records
2022,哥斯达黎加,Costa Rica,+75000,27,FOX Bet via FOX 5 New York,FIFA final standings / tournament records
2022,丹麦,Denmark,+2800,28,FOX Bet via FOX 5 New York,FIFA final standings / tournament records
2022,塞尔维亚,Serbia,+10000,29,FOX Bet via FOX 5 New York,FIFA final standings / tournament records
2022,威尔士,Wales,+25000,30,FOX Bet via FOX 5 New York,FIFA final standings / tournament records
2022,加拿大,Canada,+35000,31,FOX Bet via FOX 5 New York,FIFA final standings / tournament records
2022,卡塔尔,Qatar,+50000,32,FOX Bet via FOX 5 New York,FIFA final standings / tournament records
